Membership No  Date Joined  Active  
    66170      2016-3-16    yes   
    84139      2018-6-8     yes   
    22159      2016-6-12    no    
    53820      2020-2-9     yes   
    96279      2016-10-16   yes   
    95724      2019-8-10    no    
    56279      2017-6-10    no    
    86366      2015-2-12    yes   
    46021      2019-2-11    yes   
    74714      2015-10-12   yes   
    19598      2016-3-17    no    
    90682      2016-7-8     no    
    19202      2015-12-17   yes   
    69430      2017-8-11    no    
    94266      2018-3-25    no    
    25116      2016-10-15   no    
    67673      2020-3-14    yes   
    14193      2015-12-4    no    
    97970      2015-7-2     yes   
    79053      2020-7-3     yes   
